"CODE";"BOROUGH";"YEAR";"VAL_01_AGE";"VAR_01_AGE";"IND_01_AGE";"VAL_02_RACE_WHITE";"VAR_02_RACE_WHITE";"IND_02_RACE_WHITE";"VAL_03_WEEK_EARNINGS";"VAR_03_WEEK_EARNINGS";"IND_03_WEEK_EARNINGS";"VAL_04_PERCENT_NVQ4";"VAR_04_PERCENT_NVQ4";"IND_04_PERCENT_NVQ4";"VAL_05_CAR_TRAFFIC";"VAR_05_CAR_TRAFFIC";"IND_05_CAR_TRAFFIC";"VAL_06_EXP_LIFE";"VAR_06_EXP_LIFE";"IND_06_EXP_LIFE";"VAL_07_CRIMES";"VAR_07_CRIMES";"IND_07_CRIMES";"VAL_08_SERVICES";"VAR_08_SERVICES";"IND_08_SERVICES";"VAL_09_HOUSE_PRICE";"VAR_09_HOUSE_PRICE";"IND_09_HOUSE_PRICE";"VAL_10_HOUSE_RENT";"VAR_10_HOUSE_RENT";"IND_10_HOUSE_RENT"
"E09000020";"Kensington and Chelsea";2031;43,03;-0,1338;-1,6611;69,25;-0,0288;0,9194;724,71;-0,5214;-1,2296;79,21;2,1871;-0,0947;367;1,1917;0,0969;82,6;-0,1203;-0,2201;1889,56;2,266;1,1164;2960;-0,2663;-1,1999;1492381,83;1,0541;-0,5101;166,72;2,6157;0,1003
"E09000021";"Kingston upon Thames";2001;43,91;0;0;84,36;0;0;435,7;0;0;41,7;0;0;869;0;0;79,49;0;0;1150,92;0;0;1215;0;0;178822,59;0;0;62,83;0;0
"E09000021";"Kingston upon Thames";2011;45,13;0,2744;1,3424;74,5;-1,2352;0,2804;579,8;3,2257;0,3699;45,8;1,3488;-0,7375;828;-0,4821;0,2652;82,58;0,4778;0,0531;899,5;-2,4347;0,1535;1265;0,5054;-0,4691;312073,91;5,7264;-0,0763;104,89;5,2584;0,1631
"E09000021";"Kingston upon Thames";2021;44,97;-0,0355;-1,0585;66,06;-1,1952;-0,7229;667,9;1,4246;-0,1771;65,2;3,5949;0,3514;744;-1,064;-0,0223;82,9;0,0387;0,5732;915,17;0,1729;1,7083;1980;4,5821;0,232;510018;5,0347;-0,098;130,28;2,1914;-0,0485
"E09000021";"Kingston upon Thames";2031;43,91;-0,2383;-2,1774;62,06;-0,6227;-0,7433;666,55;-0,0202;-1,0089;65,2;0;-1;826;1,051;-0,0326;82,7;-0,0242;0,7546;998,3;0,8732;-0,1845;1840;-0,7306;-1,5484;649694,07;2,4501;0,1386;166,41;2,4779;0,0423
"E09000022";"Lambeth";2001;47,11;0;0;62,86;0;0;404,3;0;0;40,7;0;0;733;0;0;76,64;0;0;4757,67;0;0;1735;0;0;164684,74;0;0;58,22;0;0
"E09000022";"Lambeth";2011;43,09;-0,888;-0,1079;57,14;-0,9495;0,4468;536,7;3,1976;0,358;59;5,4476;0,0603;573;-2,4325;-2,7075;79,75;0,4985;0,0987;2962,92;-4,6254;-0,6082;1855;0,8395;-0,1181;304029,86;6,3228;0,02;93,04;4,7996;0,0616
"E09000022";"Lambeth";2021;47,64;1,0089;0,6638;58,91;0,3055;1,4404;681,2;2,4128;0,3937;75,7;2,5237;-0,0513;501;-1,3338;-0,2815;80,69;0,1172;3,7642;2602,08;-1,2902;-4,2855;2585;3,3741;-0,0928;534421,67;5,8027;0,0396;119,78;2,5585;0,1109
"E09000022";"Lambeth";2031;47,56;-0,0168;-1,083;59,4;0,0829;1,2321;830,99;2,0075;-0,1158;96,29;2,435;0,0079;548;0,9007;-0,1709;77,79;-0,3653;-2,7049;2909,44;1,1228;0,0487;2911;1,1948;-0,1032;612804,77;1,378;-0,3596;154,18;2,5568;0,0755
"E09000023";"Lewisham";2001;47,66;0;0;65,93;0;0;394,9;0;0;33,5;0;0;715;0;0;76,79;0;0;2417,33;0;0;1335;0;0;121333,17;0;0;59,33;0;0
"E09000023";"Lewisham";2011;43,46;-0,9183;-0,1457;53,52;-2,0638;-0,2024;473,2;2,0302;-0,1378;49;5,5828;0,0867;610;-1,5757;-1,4016;79,85;0,4896;0,0791;2250,92;-0,7107;0,7529;1350;0,1398;-0,8531;228017,41;6,5121;0,0505;87,92;4,0115;-0,1127
"E09000023";"Lewisham";2021;47,75;0,9458;0,5597;51,1;-0,4616;0,3346;574,9;1,9659;0,1356;66;3,0231;0,1365;533;-1,3403;-0,2878;80,28;0,0537;1,1829;2204,92;-0,2063;0,1549;1920;3,585;-0,0361;429701,92;6,5418;0,172;110,96;2,3547;0,0224
"E09000023";"Lewisham";2031;48,72;0,2013;-0,0054;50;-0,2174;0,3914;611,29;0,6156;-0,7289;85,12;2,5767;0,0666;571;0,6911;-0,3639;79,88;-0,0499;0,4939;2332,37;0,5635;-0,4737;2231;1,5126;0,1353;521191,11;1,949;-0,0942;140;2,352;-0,0106
"E09000024";"Merton";2001;45,69;0;0;75,05;0;0;436,3;0;0;36,3;0;0;583;0;0;79,34;0;0;1478,92;0;0;1080;0;0;167046,24;0;0;66,78;0;0
"E09000024";"Merton";2011;43,99;-0,3785;0,5278;64,89;-1,4441;0,1586;536,9;2,3321;-0,0096;48,7;4,2874;-0,1655;538;-0,8001;-0,2195;81,98;0,41;-0,0963;1169,08;-2,3235;0,1922;1255;1,8949;0,9907;306063,02;6,2423;0,007;92,61;3,324;-0,2648
